 ,SERIAL NUMBERS N86,COMPANY NAME,PIN NUMBER,ACCOUNT,DATE TRANSFERED,DATE COLLECTED,COMMENT,CU INVOICE NO.,P.L.U,P.O BOX,PAYMENT CODE,TEL NO
20TH FEB 2023,KRAMW276202301210251,DOHA RETAIL SHOP LTD,P052183790F,PECKERLIMITED,20.02.23,,,49000-97,,P. O. Box : 363 -20500 - NAROK,,
,KRAMW276202301210252,INTOUCH VAS LIMITED,P051509434K,PECKERLIMITED,21.02.23,,,48000-80,,,,
,KRAMW276202301210253,TRENDY KITCHEN OPTIONS LIMITED,P051625576T,PECKERLIMITED,28.02.23,,,48000-165,,p.o box 72206-00200,,0721444120
,KRAMW276202301210244,MOSES OSORO ADVOCATES,A005053965T,PECKERLIMITED,04.03.23,,,49000-1349,,P.O BOX 103658-00101,,0725397422
,KRAMW276202301210243,INTRASPACE MARKET CONSULTANCY LIMITED,,PECKERLIMITED,15.03.23,,,,,,,
,KRAMW276202301210242,PALMARLL SWIFT LINK LIMITED,P051610897Z,PECKERLIMITED,22.03.23,,,45000-255,,P.O BOX 51113-00100,,0723603559
,KRAMW276202301210238,FELICITYSOLAR TECHNOLOGY KENYA LIMITED,P051963799G,PECKERLIMITED,03.05.23,,,48000-647,,,,
,KRAMW276202301210237,KENREIN TECHNOLOGIES LIMITED,P051555582S,PECKERLIMITED,27.05.23,,LEAH,46000-, ERROR 6002 REPLACEMENT SERIAL,Konzi Street Mwembe Tayari Box 247-80100,,
22nd MAR 2023,KRAMW276202301209470,THE ASCEND MEDIA LIMITED,P052132650P,PECKERLIMITED,29.05.23,,,,,,,
,KRAMW276202301209480,KENREIN TECHNOLOGIES LIMITED,P051555582S,PECKERLIMITED,30.05.23,,LEAH,46000-767,,, ,
,KRAMW276202301209481,JOSH&JER AGENCIES LIMITED,P052190068V,PECKERLIMITED,30.05.23,,,,,,,
,KRAMW276202301209471,GACHEMU TRANSPORTERS & CONCRETES LIMITED,P052200371P,PECKERLIMITED,1.06.23,,ERROR 6002,40500-808,,,,
,KRAMW276202301209472,Salpa Star Co. Ltd,P051854524I,PECKERLIMITED,02.06.03,,,,,,,